Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Sedan,"5,100",Apr 2022,Honda Amaze,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",88.50bhp,18.3 kmpl,https://www.cardekho.com/used-car-details/used-Honda-Amaze-Vx-Cvt-Bsvi-cars-New-Delhi_9238b6fd-8b8b-4b3a-ab54-60cb0c05da95.htm,₹ 9.25 Lakh,2022
Petrol,SUV,"30,000",2022,Toyota Urban cruiser,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",103.26bhp,17.03 kmpl,https://www.cardekho.com/used-car-details/used-Toyota-Urban-Cruiser-Premium-cars-New-Delhi_500e91b2-411e-4c65-b19b-aa356743884a.htm,₹ 10.60 Lakh,2022
Diesel,SUV,"1,20,000",2012,Toyota Fortuner,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",168.5bhp,13 kmpl,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-4x2-Manual-cars-New-Delhi_e941ca11-9807-4bc6-b9bf-52ad17a3061c.htm,₹ 9 Lakh,2012
Diesel,SUV,"50,000",Mar 2018,Maruti Vitara Brezza,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",88.5bhp,24.3 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vdi-Option-cars-New-Delhi_ca4024f5-7837-4aae-a83f-3b95b4bdd8af.htm,₹ 6.70 Lakh,2018
Petrol,SUV,"89,698",Jun 2017,Ford Ecosport,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",123.37bhp,18.88 kmpl,https://www.cardekho.com/buy-used-car-details/used-Ford-Ecosport-1.0-Ecoboost-Titanium-cars-Gurgaon_84753fcf-a1d9-4b12-824c-683dce8da169.htm,₹ 5 Lakh,2017
Diesel,Sedan,"18,000",Jun 2014,Audi A4,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",147.51bhp,16.55 kmpl,https://www.cardekho.com/used-car-details/used-Audi-A4-2.0-Tdi-cars-New-Delhi_71c07400-5b1b-4dee-a277-c49f88221c8c.htm,₹ 12.50 Lakh,2014
Petrol,Hatchback,"1,00,000",2009,Maruti Swift,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist",88.2,16.1 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Swift-1.3-Vxi-cars-New-Delhi_6dc8174f-c042-460c-a237-a9c5b8282cbe.htm,₹ 1.10 Lakh,2009
Petrol,Hatchback,"60,000",2010,Hyundai Santro Xing,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Antenna, Centeral Locking, Power Door Locks",62.1bhp,17.92 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-Gl-Plus-cars-New-Delhi_9d3f869e-1c76-4d72-8a7f-5d251a284d6c.htm,₹ 1.50 Lakh,2010
Diesel,SUV,"30,000",2019,Ford Endeavour,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",197bhp,10.91 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Endeavour-3.2-Titanium-At-4x4-cars-New-Delhi_98631f8f-1e4d-4f19-9d83-61a2b4436907.htm,₹ 32 Lakh,2019
Lpg,Hatchback,"30,000",2014,Hyundai i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Wheel Covers, Centeral Locking, Passenger Side Rear View Mirror",68.1bhp,19 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Era-Lpg-cars-New-Delhi_02eb76bd-8698-4015-9326-5bdeaaa5ef9f.htm,₹ 2.40 Lakh,2014
Petrol,Sedan,"1,00,000",2014,Honda City,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",117.3bhp,17.4 kmpl,https://www.cardekho.com/used-car-details/used-Honda-City-I-Vtec-V-cars-Gurgaon_b3616d67-9ae1-4f76-a752-f97f5e1380f8.htm,₹ 4.60 Lakh,2014
Petrol,Hatchback,"58,193",Mar 2017,Hyundai Grand i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",82bhp,18.9 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-Sportz-cars-Noida_6fab732d-39b9-48f1-b8ba-0c2eab46e939.htm,₹ 4.11 Lakh,2016
Petrol,Hatchback,"68,621",Mar 2017,Maruti Baleno,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Delta-cars-Gurgaon_37a50e99-98b1-448a-a824-4e7ac0a1d1cc.htm,₹ 4.81 Lakh,2017
Petrol,SUV,"50,000",2017,Honda WR-V,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",88.7bhp,17.5 kmpl,https://www.cardekho.com/used-car-details/used-Honda-Wr-v-I-vtec-Vx-cars-New-Delhi_e6be2b2f-b01f-4e9e-9d85-8d0fffefad24.htm,₹ 6.70 Lakh,2017
Petrol,Hatchback,"23,399",Sept 2020,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,21.01 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-Alpha-cars-Noida_006765bc-0988-45b8-9c78-01590b29838b.htm,₹ 7.24 Lakh,2020
Petrol,Hatchback,"60,915",May 2017,Hyundai i20 Active,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",81.86bhp,17.19 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-I20-Active-1.2-S-cars-Noida_6e5f2445-cdaa-4079-aced-61b0a8931b74.htm,₹ 5.46 Lakh,2017
Cng,MUV,"44,000",Mar 2018,Maruti Ertiga,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",80.46bhp,17.5 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-Vxi-Cng-cars-New-Delhi_9cc8df26-4082-433f-ad70-4b9c40cac183.htm,₹ 7.99 Lakh,2018
