Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Diesel,SUV,"46,716",Apr 2015,Audi Q3,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",174.33bhp,15.73 kmpl,https://www.cardekho.com/used-car-details/used-Audi-Q3-35-Tdi-Quattro-Premium-Plus-cars-Bangalore_e8fea308-58fe-4c17-907f-37e32f8e7b98.htm,₹ 23.45 Lakh,2015
Diesel,Sedan,"54,000",Oct 2016,Skoda Rapid,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",108.6bhp,21.13 kmpl,https://www.cardekho.com/used-car-details/used-Skoda-Rapid-1.5-Tdi-Style-Bsiv-cars-Bangalore_8221f620-ef78-4dc1-a4bb-dad787e06883.htm,₹ 8.25 Lakh,2016
Diesel,SUV,"68,000",Aug 2016,Ford Ecosport,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",98.96bhp,21.7 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Diesel-Trend-cars-Bangalore_ef28b25c-4e77-4558-ace0-0bb62f35e5c4.htm,₹ 6.75 Lakh,2016
Diesel,Hatchback,"1,13,348",Jun 2010,Ford Figo,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks, Cd Player",68.05bhp,20 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Figo-Diesel-Zxi-cars-Bangalore_461c6e21-ee63-4b6b-aba9-f23875c9a9c3.htm,₹ 1.90 Lakh,2010
Diesel,Sedan,"1,34,000",Mar 2016,Audi A6,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",174.33bhp,17.68 kmpl,https://www.cardekho.com/used-car-details/used-Audi-A6-35-Tdi-Premium-cars-Gurgaon_94afb2f5-0d88-4ba1-99d9-e9f6bbaacbbd.htm,₹ 8.90 Lakh,2014
Petrol,SUV,"20,000",2022,Renault Kiger,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",71.01bhp,19.03 kmpl,https://www.cardekho.com/used-car-details/used-Renault-Kiger-Rxt-Amt-Opt-Dt-cars-Bangalore_172c0a54-a4c3-4d08-a371-86be2ca82656.htm,₹ 8.23 Lakh,2022
Petrol,Hatchback,"52,311",Mar 2014,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",88.50bhp,22.38 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vxi-cars-Bangalore_d342873d-44ba-4159-ae5f-4c6640e3cbf3.htm,₹ 5.54 Lakh,2014
Petrol,Sedan,"59,514",Jan 2015,Maruti Swift Dzire,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",88.50bhp,22.41 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Dzire-Vxi-cars-Bangalore_f051139b-57f5-407e-94e6-122966c5d1d9.htm,₹ 4.99 Lakh,2014
Petrol,SUV,"10,000",2022,Renault Kiger,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",71.01bhp,19.03 kmpl,https://www.cardekho.com/used-car-details/used-Renault-Kiger-Rxz-Amt-Dt-cars-Bangalore_b3a41899-1f02-4c34-b26a-6b6b5cc6d5ed.htm,₹ 8.15 Lakh,2022
Petrol,Hatchback,"36,743",Dec 2020,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,21.01 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-Zeta-cars-Bangalore_e5703644-4fd5-4aab-a652-63b692a366ca.htm,₹ 7.19 Lakh,2020
Petrol,Hatchback,"83,046",Oct 2015,Maruti Celerio,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",65.71bhp,25.24 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Celerio-Vxi-cars-Bangalore_ce1d13fc-6aae-4ec3-960e-e462f33cd0e7.htm,₹ 3.72 Lakh,2015
Petrol,Hatchback,"10,000",2018,Maruti Celerio,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",67.04bhp,23.1 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Zxi-Optional-Amt-Bsiv-cars-Bangalore_b16eaf75-0ea2-4393-bd17-48ec7c5d8cc0.htm,₹ 5.15 Lakh,2018
Petrol,Hatchback,"59,420",Mar 2016,Honda Jazz,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",88.7bhp,18.7 kmpl,https://www.cardekho.com/buy-used-car-details/used-Honda-Jazz-1.2-V-I-Vtec-cars-Bangalore_ba8ba9bb-d408-4e8d-8de3-eb95aeb815fc.htm,₹ 5.54 Lakh,2016
