Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Engine_Power,Mileage,City,Ownership_Encoded,Star_Rating,Price
Diesel,MUV,65002.0,2015.7157384987893,Maruti Ertiga,88.0,20.77,Kolkata,1,4,521000.0
Petrol,Sedan,85862.0,2015.7157384987893,Maruti Swift Dzire,88.0,22.41,Kolkata,1,4,342000.0
Petrol,Hatchback,70000.0,2011.0,Maruti Alto,46.0,19.7,Kolkata,3,4,150000.0
Petrol,Hatchback,48005.0,2015.7157384987893,Mahindra KUV 100 NXT,82.0,18.15,Kolkata,1,4,407000.0
Petrol,Hatchback,8625.0,2015.7157384987893,Hyundai Santro,68.0,20.3,Kolkata,1,4,460000.0
Petrol,Hatchback,10000.0,2020.0,Tata Altroz,86.0,19.33,Kolkata,1,4,725000.0
Diesel,Sedan,67000.0,2015.7157384987893,Skoda Laura,108.0,19.25539987552513,Kolkata,1,4,340000.0
Petrol,Hatchback,10000.0,2020.0,Tata Altroz,86.0,19.33,Kolkata,1,4,735000.0
Diesel,SUV,50000.0,2018.0,Hyundai Creta,126.0,19.67,Kolkata,1,4,1200000.0
Petrol,Hatchback,60000.0,2011.0,Maruti Zen Estilo,67.0,19.25539987552513,Kolkata,4,4,145000.0
Petrol,Hatchback,60000.0,2017.0,Maruti Celerio,67.0,23.1,Kolkata,4,4,350000.0
Diesel,SUV,34000.0,2015.7157384987893,Audi Q5,174.0,14.16,Kolkata,1,4,1950000.0
Petrol,Hatchback,60000.0,2012.0,Maruti A-Star,66.0,19.25539987552513,Kolkata,1,4,300000.0
Diesel,MUV,152000.0,2015.7157384987893,Toyota Innova,100.0,12.99,Kolkata,1,4,695000.0
Diesel,SUV,45000.0,2015.7157384987893,Land Rover Range Rover Sport,296.0,12.65,Kolkata,1,4,5600000.0
Petrol,Sedan,56766.0,2015.7157384987893,Toyota Corolla Altis,138.0,14.53,Kolkata,4,4,399000.0
Diesel,SUV,7114.0,2015.7157384987893,Tata New Safari,167.0,14.08,Kolkata,1,4,2109000.0
Diesel,SUV,25508.0,2015.7157384987893,Tata New Safari,167.0,14.08,Kolkata,1,4,2000000.0
Petrol,Hatchback,39369.0,2015.7157384987893,Maruti Wagon R,67.0,18.9,Kolkata,1,4,217000.0
Diesel,SUV,96707.0,2015.7157384987893,Mahindra XUV500,152.0,18.9,Kolkata,1,4,886000.0
Petrol,Hatchback,50000.0,2016.0,Hyundai i20 Active,81.0,17.19,Kolkata,1,4,550000.0
Petrol,Hatchback,30345.0,2015.7157384987893,Renault KWID,53.0,22.25,Kolkata,1,4,327000.0
Diesel,SUV,128232.0,2015.7157384987893,Toyota Fortuner,168.0,12.55,Kolkata,1,4,1775000.0
Petrol,SUV,54018.0,2015.7157384987893,Honda WR-V,88.0,17.5,Kolkata,1,4,487000.0
Diesel,Sedan,32007.0,2015.7157384987893,Hyundai Verna,126.0,23.9,Kolkata,1,4,612000.0
Petrol,Hatchback,100000.0,2015.0,Hyundai i10,68.0,19.81,Kolkata,1,4,310000.0
Petrol,Hatchback,30000.0,2014.0,Hyundai Santro Xing,62.0,17.92,Kolkata,3,4,245000.00000000003
Diesel,Sedan,66452.0,2015.7157384987893,Volvo S60 Cross Country,190.0,19.6,Kolkata,1,4,1980000.0
Diesel,SUV,38706.0,2015.7157384987893,Volvo XC60,215.0,11.2,Kolkata,1,4,4500000.0
Petrol,Sedan,80000.0,2018.0,Honda City,117.0,17.4,Kolkata,1,4,650000.0
Petrol,Sedan,60000.0,2015.0,Hyundai Verna,121.0,17.01,Kolkata,1,4,750000.0
Petrol,Hatchback,120000.0,2016.0,Hyundai i20 Active,81.0,17.19,Kolkata,1,4,500000.0
Diesel,MUV,150000.0,2012.0,Chevrolet Tavera,80.0,12.2,Kolkata,3,4,720000.0
Diesel,Sedan,19000.0,2015.7157384987893,Honda City,98.0,19.25539987552513,Kolkata,1,4,790000.0
Diesel,MUV,260000.0,2015.7157384987893,Toyota Innova,102.0,12.8,Kolkata,1,4,645000.0
Petrol,Sedan,71552.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,1,4,403000.0
Petrol,Hatchback,65039.0,2015.7157384987893,Hyundai Grand i10,82.0,18.9,Kolkata,3,4,301000.0
Petrol,Hatchback,60000.0,2007.0,Hyundai Santro Xing,62.0,17.92,Kolkata,3,4,40000.0
Petrol,Hatchback,73578.0,2015.7157384987893,Renault KWID,67.0,23.01,Kolkata,1,4,359000.0
Petrol,Hatchback,27160.0,2015.7157384987893,Hyundai Santro,68.0,20.3,Kolkata,1,4,511000.00000000006
Petrol,Hatchback,36000.0,2015.7157384987893,Hyundai i20,81.0,18.6,Kolkata,1,4,425000.0
Petrol,Hatchback,84367.0,2015.7157384987893,Hyundai Grand i10,82.0,18.9,Kolkata,1,4,277000.0
Petrol,MUV,32599.0,2015.7157384987893,Maruti Ertiga,103.0,19.01,Kolkata,1,4,750000.0
Petrol,SUV,47530.0,2015.7157384987893,Renault Duster,102.0,13.06,Kolkata,1,4,551000.0
Petrol,Hatchback,35457.0,2015.7157384987893,Honda Brio,86.0,19.4,Kolkata,1,4,254000.0
Petrol,SUV,28134.0,2015.7157384987893,Kia Seltos,113.0,18.9,Kolkata,1,4,1275000.0
Petrol,SUV,5000.0,2022.0,Mahindra XUV300,108.0,16.5,Kolkata,1,4,1320000.0
Petrol,Hatchback,28000.0,2015.7157384987893,Hyundai i10,78.0,16.95,Kolkata,1,4,270000.0
Diesel,SUV,20000.0,2023.0,Jeep Compass Trailhawk,167.0,18.9,Kolkata,1,4,2000000.0
Petrol,SUV,33582.0,2015.7157384987893,Land Rover Range Rover Velar,247.0,15.8,Kolkata,3,4,7900000.0
Petrol,Hatchback,46005.0,2015.7157384987893,Hyundai i10,78.0,20.36,Kolkata,1,4,255000.0
Diesel,SUV,2565.0,2015.7157384987893,MG Gloster,215.0,12.4,Kolkata,1,4,3450000.0
Petrol,Hatchback,28000.0,2015.7157384987893,Maruti Swift,81.0,19.25539987552513,Kolkata,1,4,535000.0
Petrol,Hatchback,32000.0,2015.7157384987893,Honda Jazz,88.0,18.2,Kolkata,1,4,440000.00000000006
Petrol,Sedan,45000.0,2015.7157384987893,Maruti Swift Dzire,85.0,17.5,Kolkata,1,4,225000.0
Diesel,SUV,78565.0,2015.7157384987893,Mahindra XUV500,152.0,15.1,Kolkata,1,4,1295000.0
Petrol,SUV,10197.0,2015.7157384987893,MG Hector,141.0,18.9,Kolkata,1,4,1792000.0000000002
Petrol,Hatchback,60000.0,2014.0,Hyundai EON,55.0,21.1,Kolkata,3,4,180000.0
Petrol,Sedan,32844.0,2015.7157384987893,Honda City,117.0,17.8,Kolkata,1,4,602000.0
Cng,Hatchback,5198.0,2015.7157384987893,Tata Tiago,72.0,26.49,Kolkata,1,4,743000.0
Petrol,Hatchback,40000.0,2015.7157384987893,Hyundai i20,82.0,18.5,Kolkata,1,4,335000.0
Petrol,Sedan,19355.0,2015.7157384987893,Skoda Rapid,103.0,14.84,Kolkata,1,4,750000.0
Petrol,Sedan,60000.0,2010.0,Maruti Swift Dzire,85.0,17.5,Kolkata,1,4,240000.0
Petrol,Hatchback,31197.0,2015.7157384987893,Maruti Wagon R,67.0,21.79,Kolkata,1,4,474000.0
Petrol,Hatchback,6651.0,2015.7157384987893,Datsun RediGO,67.0,21.7,Kolkata,1,4,346000.0
Petrol,Hatchback,60000.0,2009.0,Chevrolet Spark,62.0,19.25539987552513,Kolkata,4,4,70000.0
Petrol,SUV,35000.0,2015.7157384987893,Honda BR-V,117.0,15.4,Kolkata,1,4,745000.0
Petrol,Sedan,57000.0,2015.7157384987893,Honda City,116.0,16.8,Kolkata,1,4,335000.0
Petrol,Sedan,50469.0,2015.7157384987893,Honda City,117.0,19.25539987552513,Kolkata,1,4,550000.0
Petrol,Hatchback,32000.0,2015.7157384987893,Maruti Swift,81.0,19.25539987552513,Kolkata,1,4,524000.0
Petrol,Sedan,36000.0,2015.7157384987893,Toyota Corolla Altis,138.0,14.28,Kolkata,1,4,850000.0
Petrol,Hatchback,30000.0,2018.0,Datsun RediGO,53.0,22.7,Kolkata,1,4,210000.0
Diesel,SUV,68042.0,2015.7157384987893,Mahindra XUV500,140.0,19.25539987552513,Kolkata,1,4,999000.0
Petrol,Hatchback,65000.0,2015.7157384987893,Hyundai i10,78.0,20.36,Kolkata,3,4,230000.0
Petrol,Hatchback,24000.0,2015.7157384987893,Maruti Swift,81.0,20.4,Kolkata,1,4,549000.0
Diesel,Sedan,82948.0,2015.7157384987893,Maruti Ciaz,88.0,28.09,Kolkata,1,4,520000.0
Petrol,Hatchback,23162.0,2015.7157384987893,Maruti Zen Estilo,67.0,19.25539987552513,Kolkata,3,4,141000.0
Petrol,Hatchback,45000.0,2015.7157384987893,Maruti Ritz,85.0,18.5,Kolkata,1,4,129000.0
Petrol,SUV,7281.0,2015.7157384987893,Honda WR-V,88.0,17.5,Kolkata,3,4,641000.0
Petrol,Hatchback,29428.0,2015.7157384987893,Hyundai i20 Active,81.0,17.19,Kolkata,1,4,466000.0
Petrol,SUV,64000.0,2015.7157384987893,Hyundai Creta,121.0,15.8,Kolkata,1,4,844999.9999999999
Petrol,Hatchback,62202.0,2015.7157384987893,Maruti Alto 800,47.0,22.05,Kolkata,1,4,215000.0
Petrol,Sedan,47000.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,1,4,725000.0
Cng,Sedan,13145.0,2015.7157384987893,Tata Tigor,72.0,26.49,Kolkata,1,4,772000.0
Petrol,Hatchback,119490.0,2015.7157384987893,Hyundai EON,55.0,21.1,Kolkata,1,4,255000.0
Diesel,SUV,8000.0,2015.7157384987893,Mahindra XUV500,152.0,15.1,Kolkata,1,4,1673999.9999999998
Diesel,Sedan,45000.0,2015.7157384987893,Honda City,98.0,25.1,Kolkata,1,4,525000.0
Petrol,Hatchback,46422.0,2015.7157384987893,Maruti Wagon R Stingray,67.0,20.51,Kolkata,1,4,295000.0
Petrol,Hatchback,64000.0,2015.7157384987893,Hyundai i10,78.0,20.36,Kolkata,4,4,235000.0
Diesel,Sedan,52000.0,2015.7157384987893,Volkswagen Ameo,108.0,21.66,Kolkata,1,4,495000.0
Petrol,Sedan,25000.0,2015.7157384987893,Honda City,116.0,16.8,Kolkata,1,4,685000.0
Petrol,Hatchback,15000.0,2015.7157384987893,Hyundai EON,55.0,21.1,Kolkata,3,4,186000.0
Petrol,SUV,45000.0,2015.7157384987893,Kia Seltos,138.0,16.5,Kolkata,1,4,1265000.0
Petrol,SUV,65000.0,2015.7157384987893,Hyundai Creta,121.0,14.8,Kolkata,1,4,894999.9999999999
Diesel,SUV,65000.0,2015.7157384987893,Jeep Compass,170.0,17.1,Kolkata,1,4,950000.0
Petrol,Sedan,21628.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,1,4,727000.0
Petrol,Hatchback,8347.0,2015.7157384987893,Maruti Swift,88.0,22.38,Kolkata,1,4,427000.0
Diesel,SUV,72057.0,2015.7157384987893,Mahindra Scorpio,120.0,15.4,Kolkata,3,4,875000.0
Petrol,Hatchback,52549.0,2015.7157384987893,Hyundai Grand i10,81.0,18.9,Kolkata,1,4,349000.0
Petrol,Sedan,44540.0,2015.7157384987893,Honda City,117.0,19.25539987552513,Kolkata,3,4,450000.0
Petrol,Hatchback,44000.0,2015.7157384987893,Maruti Swift,85.0,18.6,Kolkata,3,4,320000.0
Diesel,Hatchback,53084.0,2015.7157384987893,Hyundai Grand i10 Nios,73.0,26.2,Kolkata,1,4,646000.0
Petrol,MUV,10000.0,2021.0,Maruti XL6,103.0,19.01,Kolkata,3,4,950000.0
Petrol,Sedan,34339.0,2015.7157384987893,Toyota Corolla Altis,138.0,14.28,Kolkata,3,4,1124000.0
Petrol,SUV,15456.0,2015.7157384987893,Kia Seltos,113.0,16.8,Kolkata,1,4,1057000.0
Petrol,MUV,10000.0,2021.0,Maruti XL6,103.0,19.01,Kolkata,3,4,950000.0
Petrol,Hatchback,68000.0,2015.7157384987893,Hyundai Santro,68.0,20.3,Kolkata,1,4,385000.0
Petrol,SUV,10000.0,2021.0,Maruti SX4 S Cross,103.0,18.55,Kolkata,1,4,875000.0
Diesel,SUV,100000.0,2017.0,Mahindra TUV 300,100.0,18.49,Kolkata,1,4,520000.0
Diesel,SUV,59639.0,2015.7157384987893,Mahindra TUV 300,100.0,18.49,Kolkata,1,4,675000.0
Petrol,Hatchback,50000.0,2017.0,Maruti Celerio,67.0,23.1,Kolkata,1,4,360000.0
Petrol,Sedan,37000.0,2015.7157384987893,Audi A6,187.0,15.26,Kolkata,1,4,1795000.0
Petrol,Sedan,60000.0,2013.0,Renault Scala,97.0,16.95,Kolkata,3,4,235000.0
Petrol,Hatchback,8000.0,2015.7157384987893,Hyundai i20 N Line,118.0,19.25539987552513,Kolkata,1,4,900000.0
Diesel,MUV,31000.0,2015.7157384987893,Maruti Ertiga,88.0,24.52,Kolkata,1,4,800000.0
Petrol,Sedan,44890.0,2015.7157384987893,Honda Amaze,86.0,19.25539987552513,Kolkata,1,4,357000.0
Diesel,SUV,48752.0,2015.7157384987893,Hyundai Creta,88.0,22.1,Kolkata,3,4,620000.0
Diesel,SUV,10000.0,2022.0,Tata New Safari,167.0,14.08,Kolkata,1,4,2350000.0
Petrol,SUV,5151.0,2015.7157384987893,Mahindra KUV 100,82.0,18.15,Kolkata,1,4,372000.0
Petrol,Hatchback,28807.0,2015.7157384987893,Maruti Alto 800,47.0,22.05,Kolkata,1,4,275000.0
Petrol,Hatchback,30000.0,2014.0,Hyundai Santro Xing,62.0,17.92,Kolkata,3,4,220000.00000000003
Petrol,Sedan,20593.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,1,4,763000.0
Petrol,Hatchback,10000.0,2020.0,Tata Altroz,86.0,19.33,Kolkata,1,4,735000.0
Petrol,Sedan,82879.0,2015.7157384987893,Honda Amaze,86.0,19.25539987552513,Kolkata,3,4,260000.0
Petrol,Sedan,13407.0,2015.7157384987893,Honda City,119.0,18.6,Kolkata,1,4,1015000.0
Petrol,Hatchback,100000.0,2019.0,Maruti Ignis,81.0,20.89,Kolkata,1,4,410000.0
Diesel,MUV,66000.0,2015.7157384987893,Maruti Ertiga,88.0,25.47,Kolkata,1,4,791000.0
Diesel,MUV,177000.0,2015.7157384987893,Toyota Innova,100.0,12.99,Kolkata,1,4,745000.0
Diesel,MUV,21100.0,2015.7157384987893,Toyota Innova Crysta,148.0,19.25539987552513,Kolkata,1,4,1850000.0
Diesel,MUV,120000.0,2005.0,Tata Sumo Victa,68.0,12.2,Kolkata,1,4,110000.0
Petrol,Hatchback,100000.0,2015.0,Hyundai i10,68.0,19.81,Kolkata,1,4,310000.0
Diesel,Sedan,44227.0,2015.7157384987893,BMW 6 Series,261.0,17.09,Kolkata,1,4,3900000.0
Diesel,SUV,70000.0,2015.0,Toyota Fortuner,168.0,12.55,Kolkata,4,4,1350000.0
Petrol,SUV,45000.0,2015.7157384987893,Honda WR-V,88.0,17.5,Kolkata,1,4,650000.0
Petrol,SUV,50000.0,2021.0,Hyundai Alcazar,156.0,14.5,Kolkata,1,4,1600000.0
Petrol,Hatchback,77042.0,2015.7157384987893,Maruti Swift,88.0,22.38,Kolkata,1,4,449000.0
Petrol,Sedan,42325.0,2015.7157384987893,Tata Tigor,84.0,19.28,Kolkata,1,4,517000.0
Petrol,Hatchback,50000.0,2017.0,Volkswagen Polo,74.0,16.2,Kolkata,1,4,500000.0
Petrol,Hatchback,37196.0,2015.7157384987893,Maruti Swift,88.0,22.38,Kolkata,1,4,400000.0
Diesel,Hatchback,61530.0,2015.7157384987893,Maruti Baleno,74.0,27.39,Kolkata,1,4,460000.0
Petrol,Hatchback,48000.0,2016.0,Hyundai i20 Active,81.0,17.19,Kolkata,1,4,580000.0
Diesel,SUV,74444.0,2015.7157384987893,Maruti Vitara Brezza,88.0,24.3,Kolkata,1,4,643000.0
Petrol,Hatchback,120000.0,2011.0,Skoda Fabia,75.0,16.25,Kolkata,1,4,200000.0
Petrol,Hatchback,11768.0,2015.7157384987893,Maruti S-Presso,65.0,21.7,Kolkata,1,4,411000.00000000006
Petrol,Hatchback,19715.0,2015.7157384987893,Renault KWID,53.0,22.3,Kolkata,3,4,384000.0
Petrol,SUV,54581.0,2015.7157384987893,Honda WR-V,88.0,17.5,Kolkata,1,4,500000.0
Diesel,Sedan,34000.0,2015.7157384987893,Audi A6,174.0,17.68,Kolkata,1,4,1475000.0
Petrol,Hatchback,50000.0,2016.0,Hyundai i20,81.0,18.6,Kolkata,3,4,500000.0
Petrol,Hatchback,40000.0,2014.0,Volkswagen Polo,74.0,16.47,Kolkata,3,4,360000.0
Diesel,SUV,70000.0,2015.0,Toyota Fortuner,168.0,12.55,Kolkata,2,4,1450000.0
Petrol,SUV,19600.0,2015.7157384987893,Porsche Macan,252.0,13.6,Kolkata,4,4,4200000.0
Diesel,MUV,120000.0,2011.0,Chevrolet Tavera,80.0,14.8,Kolkata,1,4,350000.0
Diesel,SUV,68000.0,2015.7157384987893,BMW X3,184.0,16.09,Kolkata,1,4,1199000.0
Diesel,Sedan,70000.0,2014.0,Tata Manza,88.0,21.02,Kolkata,3,4,220000.00000000003
Diesel,Hatchback,50000.0,2016.0,Hyundai Grand i10,70.0,19.25539987552513,Kolkata,2,4,330000.0
Petrol,Sedan,70179.0,2015.7157384987893,Tata Tigor,84.0,19.28,Kolkata,1,4,518000.0
Petrol,Hatchback,54501.0,2015.7157384987893,Maruti A-Star,66.0,19.25539987552513,Kolkata,1,4,141000.0
Diesel,SUV,20000.0,2018.0,Renault Captur,108.0,20.37,Kolkata,1,4,800000.0
Petrol,Hatchback,28651.0,2015.7157384987893,Maruti Alto 800,47.0,22.05,Kolkata,1,4,227000.0
Petrol,Sedan,64787.0,2015.7157384987893,Honda City,117.0,17.4,Kolkata,3,4,372000.0
