Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Diesel,SUV,"30,000",2016,BMW X1,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",188bhp,20.68 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-X1-Xdrive-20d-M-Sport-cars-Kolkata_ee69024d-a236-4468-94d6-3e4ff835d09f.htm,₹ 19.50 Lakh,2016
Petrol,Hatchback,"10,000",2019,Hyundai i20,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.86bhp,18.6 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Petrol-Spotz-cars-Kolkata_bb102a96-3d49-422a-927b-3d43f4c7211d.htm,₹ 6 Lakh,2019
Petrol,Sedan,"48,384",Jun 2019,Honda City,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",117.6bhp,17.4 kmpl,https://www.cardekho.com/used-car-details/used-Honda-City-I-vtec-V-cars-Kolkata_22301bf7-6318-4ef8-8d62-66902715092b.htm,₹ 7.75 Lakh,2019
Petrol,SUV,"32,000",Mar 2019,MG Hector,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",141bhp,13.96 kmpl,https://www.cardekho.com/used-car-details/used-Mg-Hector-Sharp-At-Bsiv-cars-Kolkata_a9d789c6-041f-4381-9573-c5b346a85dd6.htm,₹ 13.65 Lakh,2019
Petrol,Sedan,"20,000",2020,Skoda Rapid,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",103.2bhp,14.3 kmpl,https://www.cardekho.com/used-car-details/used-Skoda-Rapid-Monte-Carlo-1.6-Mpi-Bsiv-cars-Kolkata_383c8076-0a7c-4bec-965b-551a4b5034c1.htm,₹ 8.50 Lakh,2020
Petrol,Sedan,"56,023",Sept 2015,Toyota Etios,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",88.73bhp,16.78 kmpl,https://www.cardekho.com/used-car-details/used-Toyota-Etios-1.5-G-cars-Kolkata_447a4e89-9ed6-4e84-aa89-ecb3bef70f45.htm,₹ 4.35 Lakh,2015
Diesel,Sedan,"60,840",Jun 2019,Hyundai Elantra,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",126.2bhp,22.54 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Elantra-1.6-Sx-cars-Kolkata_10722ff0-e648-48ec-853a-620b149460df.htm,₹ 9.56 Lakh,2019
Petrol,Hatchback,"18,984",Oct 2017,Nissan Micra,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",75.94bhp,19.34 kmpl,https://www.cardekho.com/buy-used-car-details/used-Nissan-Micra-Xl-Cvt-cars-Kolkata_b0345765-a476-43a8-8c0c-a54d3250d8b1.htm,₹ 4.31 Lakh,2017
Petrol,MUV,"50,000",2014,Maruti Ertiga,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",93.7bhp,16.02 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-Vxi-Abs-cars-Kolkata_c38fe374-b899-4950-ba0b-0897e4f48a0b.htm,₹ 5.75 Lakh,2014
Diesel,Sedan,"1,15,173",Mar 2017,Tata Zest,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",74bhp,22.95 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-Zest-Quadrajet-1.3-75ps-Xm-cars-Kolkata_085ca591-64f4-4c7b-97f1-3b5e9af5e694.htm,₹ 4.32 Lakh,2017
Petrol,Hatchback,"26,251",Aug 2014,Maruti Alto K10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Passenger Side Rear View Mirror",67.1bhp,20.92 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-K10-2010-2014-Vxi-cars-Kolkata_dcf8891f-547e-4cc3-be0a-f7c10e5955c8.htm,₹ 2.55 Lakh,2014
Diesel,SUV,"35,700",Oct 2015,Mercedes-Benz GLA Class,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",136bhp,17.9 kmpl,https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gla-Class-200-Cdi-Sport-cars-Kolkata_768a4ff6-601e-42c1-b6fa-b89ae9a52604.htm,₹ 16.75 Lakh,2015
Petrol,Hatchback,"6,230",Aug 2021,Maruti S-Presso,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",67.05bhp,21.7 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-S-presso-Vxi-At-2019-2022-cars-Kolkata_19913e4b-ff78-46a7-ac2b-8f55b7dd7ddd.htm,₹ 4.79 Lakh,2021
Petrol,SUV,"30,000",2020,Tata Nexon,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",118.35bhp,17.33 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Nexon-Xm-S-Bsvi-cars-Kolkata_90cd78c1-06c4-4876-86d3-738f680fef52.htm,₹ 7.63 Lakh,2020
Petrol,Sedan,"25,228",Apr 2022,Honda Amaze,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",88.50bhp,18.3 kmpl,https://www.cardekho.com/buy-used-car-details/used-Honda-Amaze-Vx-Cvt-Bsvi-cars-Kolkata_8b972b2b-107e-4773-a98a-409b1472e06f.htm,₹ 8.46 Lakh,2022
Petrol,SUV,"46,717",Apr 2019,Hyundai Creta,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",121.3bhp,15.8 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Creta-1.6-Sx-cars-Kolkata_20ad86cc-d466-4069-b25a-d2a824023cf4.htm,₹ 9.99 Lakh,2019
Petrol,Hatchback,"20,000",2013,Hyundai i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Day Night Rear View Mirror, Cd Player",78.9bhp,20.36 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Sportz-cars-Kolkata_d202a4ba-bea5-4c7d-88f1-e3ccea0c0c99.htm,₹ 2.80 Lakh,2013
Petrol,MUV,"1,20,000",2018,Maruti Ertiga,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",103bhp,18.69 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-Vxi-At-Petrol-cars-Kolkata_25a01a5f-77c5-471f-9b38-e3fcd4bbccd8.htm,₹ 7.75 Lakh,2018
Diesel,Sedan,"65,000",Apr 2014,Skoda Rapid,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",105bhp,20.5 kmpl,https://www.cardekho.com/used-car-details/used-Skoda-Rapid-1.6-Tdi-Active-Plus-cars-Kolkata_7a5d07de-c285-48bf-8ca0-a816d84bd35c.htm,₹ 3.50 Lakh,2014
Petrol,Sedan,"91,000",Sept 2018,Honda Amaze,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",88.76bhp,19.5 kmpl,https://www.cardekho.com/used-car-details/used-Honda-Amaze-Vx-Petrol-Bsiv-cars-Kolkata_835ee2f2-da75-48de-99eb-b3b58c0f8d7d.htm,₹ 4.45 Lakh,2018
